         778512335 function calls (766171447 primitive calls) in 512.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12049412    2.400    0.000    2.400    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4684(_block)
  1067200    2.376    0.000    6.024    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:2491(seterr)
  1085910    2.272    0.000   81.468    0.000 /Users/khaibnd/eclipse-workspace/LNWG4/src/fitness_calculation/fitness_calculation.py:194(check_groupable_condition)
  1067200    2.180    0.000    2.351    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:2592(geterr)
  2942930    2.148    0.000    3.309    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4745(internal_values)
  4222696    2.008    0.000    2.008    0.000 {method 'view' of 'numpy.ndarray' objects}
  5903851    1.968    0.000    4.474    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:137(__instancecheck__)
  5556658    1.963    0.000   11.179    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:122(is_sparse)
  2142234    1.864    0.000    2.707    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/range.py:481(__len__)
   198108    1.844    0.000   11.403    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/algorithms.py:1548(take_nd)
   319897    1.693    0.000   20.347    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4890(astype)
   525737    1.607    0.000   24.798    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:2664(__getitem__)
  3765385    1.581    0.000    2.657    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:4914(_ensure_index)
  3402163    1.523    0.000    9.431    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:476(get_values)
  1779497    1.475    0.000    5.754    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:332(is_datetime64_dtype)
  3613139    1.465    0.000    1.465    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:127(_check_ndim)
  6073784    1.435    0.000    1.437    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:352(dtype)
  3307199    1.428    0.000    1.428    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:391(_set_subtyp)
  2942930    1.415    0.000    4.724    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:465(_values)
   739045    1.381    0.000    1.381    0.000 {built-in method numpy.core.multiarray.empty}
  1529235    1.319    0.000    1.854    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:377(_get_axis_name)
  3634117    1.300    0.000    1.775    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/common.py:395(_apply_if_callable)
  3402163    1.293    0.000    2.874    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:222(to_dense)
   319897    1.267    0.000    5.659    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:577(_astype)
   744396    1.265    0.000    3.146    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3307(shape)
  2393395    1.253    0.000    2.496    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1232(construct_1d_ndarray_preserving_na)
   141188    1.226    0.000   54.377    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/ops.py:1333(wrapper)
   878324    1.211    0.000    2.489    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4345(__finalize__)
  2740706    1.174    0.000    1.670    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:415(is_hashable)
   898747    1.167    0.000    6.424    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:269(make_block_same_class)
   131015    1.141    0.000   24.571    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:970(_getitem_lowerdim)
   123430    1.115    0.000   10.351    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/writer/etree_worksheet.py:41(write_row)
   646280    1.099    0.000    1.748    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:707(is_dtype)
   365202    1.072    0.000    2.090    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:473(_simple_new)
   160583    1.046    0.000    3.851    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:257(maybe_promote)
    37521    1.043    0.000   98.626    0.003 /Users/khaibnd/eclipse-workspace/LNWG4/src/initial_solution/initial_solution.py:56(part_sequence)
  1516431    1.040    0.000    3.384    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:390(_get_axis)
   298030    1.035    0.000   16.977    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:520(_shallow_copy_with_infer)
    92481    1.024    0.000    2.085    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:2441(maybe_convert_indices)
   282376    1.015    0.000   42.289    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/ops.py:1331(<lambda>)
   282376    1.009    0.000   22.959    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/series.py:3418(fillna)
   417303    0.995    0.000   11.610    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/ops.py:1134(na_op)
  1481332    0.994    0.000    0.994    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:266(construct_from_string)
   661816    0.989    0.000    0.989    0.000 {method 'copy' of 'numpy.ndarray' objects}
  5288605    0.976    0.000    0.976    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:233(mgr_locs)
  1399681    0.973    0.000    3.856    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:407(is_timedelta64_dtype)
    92481    0.971    0.000   29.099    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:4518(take)
   238671    0.960    0.000   12.648    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:2067(__getitem__)
   226264    0.945    0.000   31.224    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:1854(_getitem_axis)
  1146006    0.932    0.000    1.500    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/openpyxl/compat/strings.py:28(safe_string)
  2288714    0.905    0.000    0.905    0.000 {built-in method builtins.max}
   357840    0.903    0.000    0.911    0.000 {method 'format' of 'str' objects}
   302695    0.902    0.000    3.817    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/numeric.py:35(__new__)
  1067200    0.901    0.000    0.901    0.000 {built-in method numpy.core.umath.seterrobj}
  1902130    0.892    0.000    0.892    0.000 {built-in method pandas._libs.lib.infer_datetimelike_array}
   223270    0.856    0.000   13.125    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3265(__init__)
721890/684369    0.844    0.000    9.207    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:112(_isna_new)
   791502    0.828    0.000    1.225    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexes/base.py:2033(__contains__)
   220517    0.826    0.000    6.088    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/frame.py:334(__init__)
   436854    0.800    0.000    1.917    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:459(construct_from_string)
4068993/3950560    0.789    0.000    1.260    0.000 {built-in method builtins.hash}
    96735    0.781    0.000    0.781    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
230772/140927    0.757    0.000   40.452    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/indexing.py:1463(__getitem__)
   436854    0.756    0.000    1.117    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/dtypes.py:401(__new__)
   644194    0.754    0.000    0.996    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:364(_get_axis_number)
    92664    0.748    0.000    3.212    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:189(_isna_ndarraylike)
  1049304    0.721    0.000    1.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1784(_get_dtype)
   541801    0.703    0.000    3.094    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:4423(_protect_consolidate)
   319897    0.693    0.000   10.698    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/internals.py:3713(astype)
    90121    0.687    0.000   33.101    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/generic.py:2783(_take)
  2961704    0.672    0.000    0.672    0.000 {method 'get' of 'dict' objects}
   426259    0.670    0.000    2.167    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/core/common.py:100(is_bool_indexer)
    44604    0.670    0.000   41.092    0.001 /Users/khaibnd/eclipse-workspace/LNWG4/src/fitness_calculation/fitness_calculation.py:155(line_index)
   282376    0.659    0.000    1.216    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/pandas/util/_validators.py:325(validate_fillna_kwargs)
   533600    0.657    0.000    3.230    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numeric.py:2896(__exit__)
