         972820178 function calls (958199753 primitive calls) in 786.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    3.035    0.072  716.887   17.069 /Users/khaibnd/eclipse-workspace/LNWG4/src/fitness_calculation/fitness_calculation.py:56(calculate_finished_time)
  4730188    2.940    0.000   17.693    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:191(is_categorical)
  2338876    2.933    0.000    5.015    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/abc.py:180(__instancecheck__)
  2411948    2.759    0.000   26.260    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1596(is_extension_type)
   246796    2.720    0.000   43.232    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4156(_slice_take_blocks_ax0)
  2108234    2.719    0.000    5.631    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3583(__finalize__)
679401/679196    2.703    0.000   47.081    0.000 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
  3742256    2.670    0.000   10.754    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:85(is_object_dtype)
   494554    2.634    0.000    2.634    0.000 {pandas._libs.algos.take_1d_int64_int64}
  3319727    2.612    0.000    2.612    0.000 {built-in method pandas._libs.lib.isscalar}
   679423    2.547    0.000    4.507    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  3397652    2.486    0.000    6.930    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
  3995836    2.476    0.000    7.482    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:347(dtype)
5618591/5618573    2.469    0.000    7.525    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
   518846    2.407    0.000   95.809    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4113(reindex_indexer)
   679396    2.405    0.000   28.388    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
   541737    2.399    0.000   29.367    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:1200(take_nd)
   749425    2.398    0.000   13.853    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:2537(get_value)
  1912225    2.388    0.000    9.157    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3661(_protect_consolidate)
  3550864    2.384    0.000    6.295    0.000 {pandas._libs.lib.values_from_object}
  2035547    2.359    0.000    5.812    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4513(get_values)
   246794    2.354    0.000  198.425    0.001 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/frame.py:3404(dropna)
  2470275    2.262    0.000    3.256    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:359(_get_axis_name)
  3397652    2.255    0.000    3.662    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
  1563365    2.222    0.000    2.222    0.000 {method 'copy' of 'numpy.ndarray' objects}
   269009    2.203    0.000    2.203    0.000 {pandas._libs.lib.isnaobj}
   644536    2.184    0.000   93.479    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/ops.py:932(<lambda>)
  1227380    2.162    0.000   96.990    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/frame.py:703(iterrows)
   644536    2.154    0.000   53.188    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:2683(fillna)
  5403349    2.137    0.000    3.638    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:4155(_ensure_index)
   246794    2.111    0.000   56.154    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/frame.py:5611(count)
  3791469    2.099    0.000    2.099    0.000 {method 'view' of 'numpy.ndarray' objects}
   750522    2.098    0.000    4.642    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3102(_is_single_block)
  2997342    2.081    0.000    2.081    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/_weakrefset.py:70(__contains__)
   542568    2.062    0.000   31.528    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3017(__init__)
  7429236    2.058    0.000    2.058    0.000 {method 'get' of 'dict' objects}
  1712321    2.047    0.000    2.745    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:346(_get_axis_number)
      418    2.046    0.005    3.481    0.008 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/xml/etree/ElementTree.py:837(_namespaces)
  1665350    2.002    0.000    5.578    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3674(f)
  2776352    2.001    0.000    2.001    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:269(construct_from_string)
  7169007    1.995    0.000    6.679    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3060(<genexpr>)
  4309488    1.984    0.000    1.984    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:326(_set_subtyp)
  5196392    1.944    0.000    1.944    0.000 {built-in method builtins.max}
  2353822    1.936    0.000    1.936    0.000 {built-in method numpy.core.umath.seterrobj}
  1547676    1.924    0.000   14.440    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:732(copy)
   679423    1.890    0.000    2.032    0.000 <frozen importlib._bootstrap>:78(acquire)
   674671    1.875    0.000    3.644    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:396(_simple_new)
   891330    1.867    0.000   31.585    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3461(astype)
   525024    1.839    0.000    6.380    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3239(_verify_integrity)
  9528785    1.830    0.000    1.830    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:189(mgr_locs)
   269087    1.827    0.000    8.585    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/missing.py:123(_isna_ndarraylike)
  7806720    1.816    0.000    1.816    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4409(_block)
   951954    1.791    0.000    4.429    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:430(construct_from_string)
   539716    1.780    0.000    4.332    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/frame.py:316(__init__)
   664589    1.765    0.000    2.515    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:733(_get_attributes_dict)
  2452158    1.757    0.000    6.040    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:372(_get_axis)
   951954    1.751    0.000    2.638    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:372(__new__)
   749425    1.751    0.000   16.194    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:620(__getitem__)
  1362007    1.724    0.000    3.088    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:678(is_dtype)
  1595827    1.709    0.000    2.971    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:1692(__contains__)
   540787    1.679    0.000   13.653    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:2021(equals)
  6092194    1.654    0.000    1.656    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:307(dtype)
   817563    1.584    0.000    1.585    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
  1176911    1.583    0.000    8.545    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/numpy/core/numeric.py:2891(__enter__)
   679423    1.583    0.000    1.727    0.000 <frozen importlib._bootstrap>:103(release)
   540327    1.583    0.000   11.038    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:1825(take)
  2001777    1.536    0.000    4.982    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:297(is_datetime64_dtype)
  1553015    1.494    0.000    2.399    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4885(_extend_blocks)
   647835    1.486    0.000    7.722    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:433(_shallow_copy)
  2128801    1.470    0.000    9.899    0.000 {method 'any' of 'numpy.ndarray' objects}
  1187506    1.456    0.000    2.770    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:556(is_dtype)
   613454    1.427    0.000    1.427    0.000 {built-in method numpy.core.multiarray.arange}
  1176911    1.422    0.000    7.042    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/numpy/core/numeric.py:2896(__exit__)
  6795957    1.407    0.000    1.407    0.000 {method 'rstrip' of 'str' objects}
   891330    1.405    0.000   18.256    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:542(astype)
   525038    1.383    0.000    5.009    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/missing.py:255(array_equivalent)
  1057009    1.352    0.000    1.933    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/algorithms.py:1254(_get_take_nd_function)
   935839    1.320    0.000    1.320    0.000 {method 'format' of 'str' objects}
   544888    1.309    0.000    3.106    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3532(_consolidate_check)
  1665350    1.293    0.000    9.407    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3671(_consolidate_inplace)
   891532    1.281    0.000   53.949    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/util/_decorators.py:87(wrapper)
   252015    1.274    0.000   74.137    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/frame.py:2158(_getitem_array)
  1358382    1.255    0.000    1.837    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
  2338370    1.252    0.000    8.581    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/inference.py:234(is_list_like)
  2602466    1.240    0.000    1.782    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/inference.py:365(is_hashable)
   845202    1.225    0.000    3.687    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/range.py:303(equals)
  1745300    1.210    0.000    2.152    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:588(values)
  4707644    1.195    0.000    1.195    0.000 {built-in method numpy.core.umath.geterrobj}
   522982    1.192    0.000    1.867    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4990(_get_blkno_placements)
   679175    1.184    0.000   78.207    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/ops.py:751(_comp_method_OBJECT_ARRAY)
   644132    1.181    0.000   18.554    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3455(fillna)
   322268    1.152    0.000    1.152    0.000 {built-in method _operator.and_}
   777276    1.116    0.000    3.033    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/base.py:1360(_convert_scalar_indexer)
  1176911    1.111    0.000    1.395    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/numpy/core/numeric.py:2887(__init__)
4672611/4554178    1.095    0.000    2.195    0.000 {built-in method builtins.hash}
  1849428    1.093    0.000    2.124    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1722(_get_dtype)
  2035547    1.092    0.000    6.903    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/series.py:411(get_values)
  3397728    1.082    0.000    1.082    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
  3396570    1.076    0.000    1.664    0.000 <frozen importlib._bootstrap>:847(__exit__)
  4042142    1.062    0.000    1.062    0.000 {method 'startswith' of 'str' objects}
  3396570    1.054    0.000    1.579    0.000 <frozen importlib._bootstrap>:843(__enter__)
   498587    1.054    0.000    8.592    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:3753(as_matrix)
   609411    1.039    0.000    1.203    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:311(ftype)
  2719989    1.017    0.000    7.805    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:118(is_sparse)
   347785    1.009    0.000    5.368    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/indexes/range.py:248(_shallow_copy)
   547058    1.007    0.000   11.121    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/missing.py:51(_isna_new)
  2035547    0.999    0.000    2.151    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:178(to_dense)
   123430    0.999    0.000   10.505    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/openpyxl/writer/etree_worksheet.py:41(write_row)
  1092468    0.955    0.000    1.446    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:4506(internal_values)
  1146002    0.940    0.000    1.485    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/openpyxl/compat/strings.py:28(safe_string)
   926419    0.931    0.000   14.528    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/generic.py:148(_validate_dtype)
   679398    0.921    0.000    1.495    0.000 <frozen importlib._bootstrap>:58(__init__)
   422125    0.915    0.000    2.975    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/common.py:184(is_bool_indexer)
  4755391    0.906    0.000    0.906    0.000 {built-in method _imp.acquire_lock}
  2254844    0.904    0.000    8.016    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/numpy/core/numeric.py:433(asarray)
  1665350    0.890    0.000    1.963    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3813(consolidate)
   679401    0.887    0.000    7.427    0.000 <frozen importlib._bootstrap>:147(__enter__)
  2134854    0.881    0.000    8.465    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/numpy/core/_methods.py:42(_any)
   958618    0.878    0.000    1.662    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1493(is_float_dtype)
  4755391    0.858    0.000    0.858    0.000 {built-in method _imp.release_lock}
  2235461    0.844    0.000    1.164    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3062(ndim)
   498587    0.843    0.000    4.993    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:3666(as_matrix)
   644132    0.827    0.000    7.743    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/internals.py:373(fillna)
  1841961    0.817    0.000    1.125    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/common.py:464(_apply_if_callable)
   567849    0.816    0.000    0.816    0.000 {method 'take' of 'numpy.ndarray' objects}
  1362007    0.804    0.000    3.892    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/common.py:442(is_interval_dtype)
   679398    0.791    0.000    1.152    0.000 <frozen importlib._bootstrap>:176(cb)
  1226397    0.790    0.000    0.790    0.000 {built-in method pandas._libs.lib.infer_datetimelike_array}
  3416458    0.788    0.000    0.788    0.000 {method 'join' of 'str' objects}
   246809    0.785    0.000   10.860    0.000 /Library/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/pandas/core/dtypes/missing.py:192(notna)
